Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
524288,140.3,104.39,205.67,30000,8,3,non-blocking linear
1,3.14,0.3,6.63,30000,16,3,non-blocking linear
2,3.19,0.29,6.75,30000,16,3,non-blocking linear
4,3.18,0.31,6.69,30000,16,3,non-blocking linear
8,3.16,0.3,6.67,30000,16,3,non-blocking linear
16,3.18,0.3,6.7,30000,16,3,non-blocking linear
32,3.38,0.27,7.03,30000,16,3,non-blocking linear
64,3.72,0.26,7.97,30000,16,3,non-blocking linear
128,4.36,0.31,8.44,30000,16,3,non-blocking linear
256,5.07,0.41,10.0,30000,16,3,non-blocking linear
512,5.35,0.45,10.38,30000,16,3,non-blocking linear
1024,5.7,0.38,11.01,30000,16,3,non-blocking linear
2048,6.23,0.44,11.29,30000,16,3,non-blocking linear
4096,7.57,0.67,13.04,30000,16,3,non-blocking linear
8192,11.08,0.99,19.14,30000,16,3,non-blocking linear
16384,10.55,3.98,18.95,30000,16,3,non-blocking linear
32768,16.8,6.87,31.69,30000,16,3,non-blocking linear
65536,31.59,17.35,52.83,30000,16,3,non-blocking linear
131072,64.25,25.38,99.22,30000,16,3,non-blocking linear
262144,146.72,42.87,188.53,30000,16,3,non-blocking linear
524288,477.09,242.8,703.92,30000,16,3,non-blocking linear
1,5.27,0.52,11.66,30000,32,3,non-blocking linear
2,5.06,0.26,11.37,30000,32,3,non-blocking linear
4,5.07,0.28,11.37,30000,32,3,non-blocking linear
8,5.07,0.29,11.4,30000,32,3,non-blocking linear
16,5.1,0.28,11.44,30000,32,3,non-blocking linear
32,5.27,0.24,11.76,30000,32,3,non-blocking linear
64,5.5,0.29,13.08,30000,32,3,non-blocking linear
128,7.67,0.37,16.07,30000,32,3,non-blocking linear
256,8.5,0.46,17.57,30000,32,3,non-blocking linear
512,8.78,0.42,17.55,30000,32,3,non-blocking linear
1024,9.6,0.35,18.71,30000,32,3,non-blocking linear
2048,11.17,0.39,19.67,30000,32,3,non-blocking linear
4096,14.53,0.65,24.14,30000,32,3,non-blocking linear
8192,23.81,1.17,39.78,30000,32,3,non-blocking linear
16384,17.14,4.35,33.39,30000,32,3,non-blocking linear
32768,29.66,7.89,56.01,30000,32,3,non-blocking linear
65536,60.14,20.89,100.28,30000,32,3,non-blocking linear
131072,123.44,29.37,187.82,30000,32,3,non-blocking linear
262144,414.62,56.88,661.98,30000,32,3,non-blocking linear
524288,528.14,275.62,721.83,30000,32,3,non-blocking linear
1,6.42,0.3,22.52,30000,64,3,non-blocking linear
2,6.36,0.27,22.32,30000,64,3,non-blocking linear
4,6.34,0.24,22.29,30000,64,3,non-blocking linear
8,6.36,0.24,22.33,30000,64,3,non-blocking linear
16,6.38,0.24,22.34,30000,64,3,non-blocking linear
32,6.71,0.28,22.86,30000,64,3,non-blocking linear
64,6.67,0.25,22.9,30000,64,3,non-blocking linear
128,12.89,0.41,31.39,30000,64,3,non-blocking linear
256,13.96,0.4,33.43,30000,64,3,non-blocking linear
512,14.56,0.35,34.9,30000,64,3,non-blocking linear
1024,15.81,0.39,36.59,30000,64,3,non-blocking linear
2048,20.47,0.44,41.47,30000,64,3,non-blocking linear
4096,28.23,0.67,52.75,30000,64,3,non-blocking linear
8192,45.32,1.16,78.96,30000,64,3,non-blocking linear
16384,28.65,4.43,61.73,30000,64,3,non-blocking linear
32768,45.3,7.08,106.56,30000,64,3,non-blocking linear
65536,90.49,20.09,199.06,30000,64,3,non-blocking linear
131072,180.65,31.28,422.61,30000,64,3,non-blocking linear
262144,460.77,53.62,721.77,30000,64,3,non-blocking linear
524288,955.46,129.69,1423.31,30000,64,3,non-blocking linear
1,15.39,0.6,49.99,30000,128,3,non-blocking linear
2,15.27,0.32,49.77,30000,128,3,non-blocking linear
4,15.3,0.33,49.82,30000,128,3,non-blocking linear
8,15.37,0.32,49.94,30000,128,3,non-blocking linear
16,15.43,0.33,50.05,30000,128,3,non-blocking linear
32,15.9,0.33,50.81,30000,128,3,non-blocking linear
64,15.85,0.33,50.97,30000,128,3,non-blocking linear
128,29.9,0.46,70.32,30000,128,3,non-blocking linear
256,31.78,0.51,76.02,30000,128,3,non-blocking linear
512,32.49,0.52,77.36,30000,128,3,non-blocking linear
1024,36.56,0.58,83.24,30000,128,3,non-blocking linear
2048,49.1,0.69,99.09,30000,128,3,non-blocking linear
4096,65.45,1.05,122.9,30000,128,3,non-blocking linear
8192,104.2,1.59,180.26,30000,128,3,non-blocking linear
16384,61.37,5.0,130.31,30000,128,3,non-blocking linear
32768,95.98,7.83,216.89,30000,128,3,non-blocking linear
65536,171.31,22.84,394.51,30000,128,3,non-blocking linear
131072,347.34,62.11,767.86,30000,128,3,non-blocking linear
262144,847.59,157.04,1545.97,30000,128,3,non-blocking linear
524288,1928.11,464.14,3173.44,30000,128,3,non-blocking linear
1,40.22,0.14,98.13,30000,256,3,non-blocking linear
2,40.21,0.14,98.1,30000,256,3,non-blocking linear
4,40.25,0.14,98.14,30000,256,3,non-blocking linear
8,40.29,0.14,98.21,30000,256,3,non-blocking linear
16,40.46,0.14,98.45,30000,256,3,non-blocking linear
32,41.22,0.14,99.81,30000,256,3,non-blocking linear
64,41.67,0.14,100.73,30000,256,3,non-blocking linear
128,78.28,0.29,152.47,30000,256,3,non-blocking linear
256,83.29,0.29,165.52,30000,256,3,non-blocking linear
512,84.34,0.37,167.29,30000,256,3,non-blocking linear
1024,93.05,0.47,181.81,30000,256,3,non-blocking linear
2048,126.73,0.56,226.51,30000,256,3,non-blocking linear
4096,164.72,0.87,282.63,30000,256,3,non-blocking linear
8192,248.7,1.47,413.43,30000,256,3,non-blocking linear
16384,125.44,5.59,251.7,30000,256,3,non-blocking linear
32768,182.59,9.8,419.93,30000,256,3,non-blocking linear
65536,324.96,31.36,782.92,30000,256,3,non-blocking linear
131072,623.61,68.99,1536.43,30000,256,3,non-blocking linear
262144,1937.25,127.41,3760.46,30000,256,3,non-blocking linear
524288,4563.89,198.99,7933.71,30000,256,3,non-blocking linear
